DateTime,AddedIPs,RemovedIPs
1578344441,1,0
1578348044,1,0
1578351643,1,0
1578358843,1,0
1578391244,0,1
1578398443,0,1
1578402046,0,1
1578412842,0,1
1578420045,0,1
1578427241,0,1
1578430840,0,3
1578441640,0,1
1578445241,0,1
1578452438,0,3
1578459637,0,2
1578463236,0,2
1578466833,0,4
1578477633,1,2
1578488433,0,3
1578495634,0,1
1578499234,0,1
1578506436,0,2
1578510033,0,1
1578513630,0,1
1578517230,0,1
1578520828,0,3
1578524430,0,1
1578531626,0,3
1578535231,0,2
1578538827,1,2
1578542426,0,3
1578546025,0,2
1578549624,0,3
1578553223,0,2
1578556819,0,5
1578567622,0,2
1578578419,0,1
1578603619,1,0
1578628821,0,1
1578682818,0,1
1578704416,0,1
1578718816,1,0
1578769218,1,1
1578780021,0,1
1578783618,0,1
1578787216,0,1
1578790817,1,0
1578794419,1,0
1578819619,0,1
1578852021,0,1
1578942020,0,1
1578945619,0,2
1578949219,0,1
1578952818,1,0
1578956419,0,1
1578960019,1,0
1578963619,2,0
1578970819,1,0
1578974419,2,0
1578978019,1,0
1578988819,1,0
1578992421,1,0
1578999628,2,0
1579006824,1,0
1579017623,1,0
1579021223,2,0
1579024823,0,1
1579035623,1,0
1579042822,1,0
1579046424,1,0
1579057223,1,0
1579064425,1,0
1579071628,1,0
1579075225,1,0
1579089625,1,0
1579150825,1,0
1579161631,1,0
1579226427,1,0
1579266028,0,1
1579284034,0,1
1579298430,1,0
1579323627,0,1
1579327227,1,0
1579374028,0,1
1579395628,1,0
1579431628,0,1
1579489226,1,0
1579496426,1,1
1579503627,1,0
1579507228,1,0
1579557629,2,0
1579561230,1,0
1579568428,1,0
1579575664,76,0
1579586463,1,0
1579593666,0,1
1579597261,0,1
1579608061,0,1
1579615262,1,0
1579626065,1,0
1579662065,0,1
1579672862,0,1
1579712465,1,0
1579726862,0,1
1579744863,1,0
1579766464,0,1
1579831265,0,1
1579863662,0,1
1579896064,1,0
1579917663,0,1
1579939265,1,0
1579942868,2,0
1579968070,1,0
1579978868,1,0
1579989669,0,1
1580000470,1,0
1580036468,0,1
1580065270,1,0
1580068870,1,0
1580072470,1,0
1580083270,2,0
1580086871,2,0
1580094071,1,0
1580097672,1,0
1580101273,0,1
1580112072,1,2
1580119272,1,0
1580126473,2,0
1580130075,4,1
1580137275,1,0
1580140875,1,1
1580144475,2,0
1580155276,1,0
1580162475,1,1
1580166078,0,1
1580169677,1,0
1580173275,1,1
1580176875,0,1
1580184042,2,76
1580187642,1,0
1580194840,0,2
1580198444,2,0
1580209241,0,1
1580212844,1,0
1580216442,0,2
1580220042,0,1
1580234441,0,1
1580245241,0,1
1580248840,1,0
1580252439,1,1
1580256041,1,0
1580259643,0,1
1580263242,0,1
1580266841,0,1
1580270442,0,1
1580274040,0,1
1580281238,0,2
1580292038,0,1
1580295640,1,1
1580299242,1,0
1580302842,1,0
1580306441,0,1
1580310041,0,1
1580331641,0,1
1580353239,0,1
1580356841,1,0
1580360442,0,1
1580367646,2,0
1580378443,1,0
1580400044,1,0
1580403645,1,0
1580407246,1,0
1580410846,1,0
1580425248,1,0
1580482846,1,0
1580504445,0,1
1580529643,0,1
1580536844,2,0
1580544044,1,0
1580547642,0,3
1580554840,1,0
1580572836,0,2
1580580037,1,0
1580587237,0,1
1580605236,1,0
1580666436,0,1
1580670036,1,0
1580677238,1,0
1580680839,1,0
1580684440,1,0
1580727642,0,1
1580767241,1,0
1580774439,0,1
1580778038,1,0
1580792439,0,1
1580817638,0,1
1580835638,0,1
1580860836,0,1
1580900433,0,1
1580922034,0,2
1580936434,2,0
1580950833,0,1
1580972433,0,1
1580976033,0,1
1580983233,0,1
1580990432,0,1
1581001231,0,1
1581008431,1,0
1581012030,0,2
1581015642,0,1
1581022829,0,1
1581030031,1,0
1581033638,0,1
1581037229,0,1
1581044429,0,1
1581051631,0,1
1581062428,0,1
1581069629,0,2
1581084023,0,2
1581094829,0,1
1581098422,0,1
1581102022,0,1
1581105623,0,1
1581116423,0,1
1581120023,0,1
1581123623,0,4
1581134423,2,1
1581138022,0,1
1581141621,0,2
1581145221,0,2
1581148821,0,3
1581166823,1,0
1581174023,0,1
1581181222,0,1
1581192026,1,1
1581213626,1,0
1581220824,0,2
1581231625,1,0
1581242425,0,1
1581285624,0,1
1581289222,0,1
1581310825,0,1
1581382823,1,0
1581422420,0,1
1581426020,0,1
1581436822,0,1
1581476422,1,0
1581480021,0,1
1581537622,1,0
1581555623,1,0
1581566422,0,1
1581570023,1,0
1581631224,0,1
1581667222,0,1
1581739222,1,2
1581750023,1,0
1581804022,1,1
1581818425,1,0
1581843623,0,1
1581868818,0,2
1581872420,1,0
1581973221,1,0
1581987623,1,0
1582009223,1,0
1582048824,0,1
1582081222,0,1
1582146021,0,1
1582200023,1,0
1582254024,1,1
1582257625,0,1
1582344023,1,1
1582354822,0,1
1582369224,1,0
1582412422,0,1
1582419623,1,0
1582444824,1,0
1582477222,0,1
1582513221,1,0
1582516821,1,0
1582524024,1,0
1582527623,1,0
1582531223,3,0
1582534826,1,0
1582538426,2,0
1582545628,1,0
1582563629,1,0
1582567228,1,0
1582570827,1,0
1582578028,1,0
1582581628,2,0
1582592434,3,0
1582596026,0,1
1582599627,1,0
1582603225,1,0
1582606827,1,0
1582610429,1,0
1582614026,0,1
1582621228,1,0
1582624825,0,1
1582628427,2,0
