DateTime,AddedIPs,RemovedIPs
1582345868,78,65
1582346522,6,0
1582347792,16,0
1582348921,5,0
1582349582,62,51
1582350121,4,0
1582351321,8,0
1582352522,3,0
1582353068,47,41
1582353721,1,1
1582354993,3,0
1582356121,2,0
1582356687,44,39
1582357321,11,0
1582358521,10,0
1582360266,60,39
1582360921,3,0
1582362133,4,1
1582362721,5,0
1582364521,10,0
1582365121,69,34
1582365792,7,0
1582366356,890,361
1582367521,56,48
1582368122,5,0
1582368722,2,0
1582369393,2,5
1582370521,5,0
1582371121,69,48
1582372322,2,0
1582372921,5,0
1582373522,5,0
1582374721,49,50
1582374782,4,0
1582375921,1,0
1582376592,72,58
1582377121,1,0
1582377722,3,0
1582378921,0,1
1582380121,6,0
1582381921,2,0
1582381981,54,50
1582382521,5,0
1582383121,4,0
1582383793,0,1
1582384922,2,1
1582385521,79,48
1582386121,3,0
1582387333,3,1
1582387922,1,0
1582388521,8,0
1582389121,65,60
1582389722,4,0
1582390992,3,0
1582392122,1,0
1582392722,54,53
1582393321,4,0
1582394521,10,0
1582394592,0,2
1582395121,1,0
1582395722,1,0
1582396309,81,53
1582396381,10,0
1582396921,3,0
1582398192,6,1
1582398721,2,0
1582399322,3,0
1582399921,1,0
1582400521,4,0
1582401121,3,0
1582401732,50,58
1582402321,2,0
1582402921,5,0
1582403521,70,59
1582404122,1,1
1582404721,3,0
1582404722,1,0
1582405394,77,57
1582406521,4,0
1582407721,3,0
1582408993,1,2
1582410121,4,0
1582410722,51,66
1582411321,12,0
1582412521,4,0
1582413721,3,0
1582414272,49,76
1582414381,2,0
1582414921,4,0
1582416134,71,96
1582416722,2,0
1582418521,10,0
1582419793,3,0
1582420921,4,0
1582421468,44,65
1582422121,3,0
1582423332,4,0
1582423921,3,0
1582425064,38,61
1582425181,1,0
1582425721,3,0
1582426992,5,16
1582428121,2,0
1582428721,49,58
1582429321,4,0
1582430592,71,85
1582431122,3,0
1582431721,1,0
1582432922,3,0
1582434193,1,0
1582435322,2,0
1582435869,60,57
1582436522,2,0
1582437121,4,0
1582437793,1,1
1582438921,1,0
1582439492,57,52
1582440122,4,0
1582440721,2,0
1582441393,3,1
1582442521,3,0
1582443083,47,33
1582443721,2,0
1582444921,3,1
1582446122,5,0
1582446668,52,33
1582447921,3,0
1582448593,5,1
1582449121,3,0
1582449722,17,1
1582450266,62,43
1582450921,5,0
1582452192,3,0
1582453487,832,617
1582453921,64,50
1582454522,1,0
1582455792,2,2
1582456322,2,0
1582457469,68,40
1582457581,5,0
1582458121,1,0
1582458721,1,0
1582459321,7,0
1582459393,0,2
1582460521,10,0
1582461122,1,1
1582461181,55,51
1582461722,4,1
1582462921,6,0
1582462993,1,0
1582464121,6,0
1582464721,59,53
1582465921,8,0
1582466593,1,1
1582467721,1,0
1582468321,68,56
1582468921,8,0
1582469521,1,0
1582470194,12,1
1582471321,10,0
1582471922,53,46
1582473793,3,2
1582474321,5,0
1582475521,2,0
1582475596,65,46
1582476122,1,0
1582477334,4,0
1582478521,2,0
1582479122,46,65
1582479721,3,0
1582480994,122,85
1582481521,6,0
1582482121,1,0
1582482722,75,60
1582483321,13,0
1582484521,1,1
1582484594,0,1
1582485121,2,0
1582485722,1,0
1582486381,71,47
1582488193,1,0
1582489322,6,0
1582489891,64,64
1582490522,19,0
1582491121,4,0
1582491793,3,0
1582492322,1,0
1582493481,48,63
1582494121,4,0
1582495321,2,1
1582495393,0,1
1582495921,1,0
1582496522,5,0
1582497121,52,83
1582497721,2,0
1582498921,17,0
1582498994,0,1
1582500121,5,0
1582500693,47,79
1582501321,4,0
1582502546,69,74
1582502595,0,1
1582503121,2,0
1582504381,2,0
1582504921,2,0
1582505521,1,0
1582506194,4,1
1582507321,9,0
1582507921,51,64
1582508521,2,0
1582509721,12,0
1582509794,0,1
1582510921,8,1
1582511582,32,51
1582512121,2,0
1582513333,4,0
1582514521,12,0
1582515121,3,0
1582515182,49,59
1582515721,2,0
1582516994,8,0
1582518121,5,0
1582518781,82,90
1582519321,5,1
1582519921,3,0
1582520593,3,1
1582521721,15,0
1582522280,56,71
1582522922,2,0
1582524193,10,1
1582525321,9,0
1582526521,5,0
1582527721,66,56
1582528922,10,0
1582529521,12,0
1582530122,11,0
1582531322,51,37
1582531395,0,1
1582532521,3,0
1582533079,54,41
1582533721,4,0
1582534921,8,0
1582534994,0,2
1582536122,3,0
1582536781,55,46
1582537321,4,0
1582537921,5,0
1582538521,2,0
1582539721,7,1
1582540321,2,0
1582540606,1020,373
1582540921,4,0
1582541521,2,1
1582542195,57,48
1582542721,6,0
1582543321,4,0
1582543886,39,36
1582543981,1,0
1582544521,6,0
1582545121,1,0
1582545721,5,0
1582546921,6,0
1582547477,62,35
1582548121,5,1
1582549321,65,46
1582550521,3,0
1582551181,5,0
1582551722,2,0
1582552994,17,0
1582553522,5,0
1582554121,1,0
1582554721,51,56
1582555322,4,1
1582555921,2,0
1582556594,2,0
1582557121,3,0
1582557721,3,0
1582558321,5,0
1582558922,2,0
1582560194,62,40
1582561322,20,0
1582561981,52,48
1582562522,3,0
1582563735,4,0
1582564922,3,0
1582565521,47,52
1582566122,4,0
1582567321,1,0
1582568521,4,0
1582569121,64,53
1582569722,6,0
1582570994,3,0
1582572121,2,0
1582572782,78,49
1582573321,4,1
1582573921,1,0
1582574521,61,62
1582575721,2,1
1582576382,3,0
1582577521,2,0
1582578194,2,0
1582579322,8,0
1582579982,55,68
1582580522,2,0
1582581796,4,0
1582582921,4,0
1582583491,45,74
1582584121,4,0
1582585321,2,0
1582585922,0,1
1582586521,11,0
1582587181,46,84
1582587721,1,0
1582588321,3,0
1582588934,59,84
1582589522,4,0
1582590121,1,0
1582591321,3,0
1582592594,3,1
1582593121,1,0
1582593722,2,0
1582594265,46,51
1582594922,1,2
1582596194,3,1
1582596721,1,0
1582597322,7,0
1582598521,2,0
1582599795,43,52
1582600921,8,0
1582601495,68,60
1582602122,4,0
1582603395,7,0
1582603921,1,0
1582604521,2,0
1582605102,71,76
1582605721,1,0
1582606921,1,0
1582608121,3,0
1582608721,64,57
1582609321,2,0
1582610521,3,0
1582610596,0,1
1582611721,5,0
1582612921,1,0
1582614194,70,53
1582615321,2,1
1582615922,55,35
1582616521,2,0
1582617721,1,0
1582618921,2,2
1582619489,57,42
1582620122,5,0
1582620722,1,0
1582621334,6,0
1582621921,2,0
1582622521,5,0
1582623121,47,64
1582623722,3,0
1582624321,1,0
1582624995,56,42
1582625521,3,0
1582626781,2,0
1582627732,911,233
1582627921,1,0
1582628595,2,3
1582629121,4,0
1582629721,1,0
