DateTime,AddedIPs,RemovedIPs
1579507396,1,0
1579518137,1,2
1579521796,1,0
1579528996,0,1
1579539797,4,0
1579543397,0,2
1579554198,0,1
1579561427,1,0
1579565026,1,0
1579575766,0,1
1579579366,1,0
1579582966,0,1
1579586626,17,0
1579597366,0,1
1579604566,1,0
1579608166,1,0
1579615426,0,2
1579618967,0,2
1579626227,0,1
1579629767,1,1
1579637234,1,0
1579640593,1,1
1579644194,2,0
1579647794,1,0
1579651334,0,2
1579661653,0,1
1579665793,0,1
1579669393,1,0
1579672993,1,2
1579680193,0,3
1579690993,2,0
1579694534,0,1
1579712594,1,15
1579716194,0,2
1579723394,1,1
1579741334,0,2
1579744934,0,6
1579748594,1,1
1579755794,1,1
1579759334,0,1
1579791735,1,1
1579806195,0,1
1579809795,0,5
1579815255,0,1
1579820596,0,1
1579827736,0,8
1579838597,0,2
1579842136,0,9
1579849396,3,0
1579852936,3,0
1579856596,0,3
1579874537,0,2
1579881738,1,0
1579885337,2,1
1579892596,3,0
1579896198,3,0
1579914137,1,2
1579917737,1,0
1579921397,0,1
1579932197,1,1
1579942997,1,1
1579950197,0,1
1579957397,2,0
1579960999,1,0
1579964600,0,1
1579975397,2,0
1579982537,3,0
1579986140,0,2
1579989797,0,1
1579993337,1,0
1579996998,3,0
1580007739,0,2
1580018538,0,2
1580022198,0,6
1580025738,2,2
1580036599,1,1
1580047398,1,0
1580054539,1,0
1580058199,1,0
1580061798,1,0
1580068999,0,1
1580072599,1,0
1580090599,1,2
1580101400,0,1
1580104999,2,0
1580126599,0,1
1580130199,0,3
1580137399,0,1
1580144541,0,2
1580148199,1,0
1580151740,1,4
1580155399,2,0
1580162600,1,0
1580166141,42,1
1580169801,1,1
1580177001,0,1
1580180600,2,1
1580198601,1,0
1580202140,1,0
1580205740,0,2
1580223801,1,0
1580227340,1,1
1580231001,0,1
1580238202,1,0
1580241741,1,0
1580249361,0,2
1580250802,1,0
1580256141,1,1
1580259742,1,0
1580263401,2,0
1580266941,1,1
1580270541,1,2
1580274201,0,20
1580285001,1,0
1580288601,1,0
1580295741,0,1
1580303001,8,0
1580317342,0,1
1580324602,4,0
1580328142,0,2
1580331802,8,0
1580335402,12,0
1580339002,1,1
1580342722,0,1
1580349802,0,1
1580357002,4,0
1580360542,1,0
1580371409,0,1
1580375002,1,0
1580378602,1,0
1580382203,1,1
1580392943,0,1
1580396604,0,1
1580414604,2,1
1580418144,2,0
1580421743,0,5
1580425404,2,0
1580428943,1,0
1580432544,0,1
1580450545,0,12
1580454203,0,3
1580457744,0,2
1580472265,1,0
1580475804,1,3
1580479344,2,0
1580483004,1,3
1580486545,0,4
1580493745,0,6
1580515464,1,1
1580523746,0,1
1580526205,5,0
1580529744,1,0
1580533404,1,0
1580540605,3,0
1580547805,0,1
1580551405,2,0
1580558605,0,3
1580565805,1,1
1580569406,1,0
1580576546,0,1
1580583746,1,0
1580587405,1,0
1580591065,0,1
1580594606,2,0
1580601806,1,0
1580605346,0,3
1580612546,1,0
1580619746,18,1
1580626946,1,1
1580634206,0,1
1580641406,0,1
1580652206,0,1
1580655806,2,0
1580662946,0,1
1580666546,9,3
1580670146,2,0
1580673806,0,1
1580688146,3,0
1580691747,2,0
1580713348,1,0
1580749349,0,1
1580753008,0,1
1580756607,1,0
1580760208,0,2
1580770948,1,2
1580788948,1,0
1580792609,1,2
1580799749,1,0
1580803409,1,1
1580814209,1,0
1580835809,2,2
1580839409,1,0
1580843009,1,1
1580850213,5,3
1580851252,1,1
1580857431,0,2
1580860971,1,0
1580864572,2,0
1580868171,0,1
1580875372,0,3
1580878972,21,0
1580886172,1,0
1580889772,0,1
1580896972,1,0
1580900572,1,0
1580904232,1,0
1580914972,1,0
1580925772,1,0
1580929373,1,2
1580943773,0,1
1580950974,2,0
1580958173,0,2
1580972573,1,0
1580976174,0,2
1580983373,2,0
1580986974,2,0
1581001373,4,0
1581004973,0,7
1581008574,1,1
1581015774,3,2
1581019373,1,0
1581026634,2,1
1581033774,1,0
1581040975,2,1
1581048174,1,0
1581055374,1,1
1581058974,1,1
1581066174,2,0
1581080634,0,1
1581084174,0,1
1581094974,1,0
1581102175,1,0
1581105775,2,0
1581109375,0,1
1581112975,1,0
1581120175,1,1
1581123775,0,1
1581130975,0,1
1581138175,1,2
1581145375,1,1
1581152576,1,0
1581156175,1,2
1581159776,1,0
1581166975,0,3
1581170576,0,1
1581174176,1,0
1581184976,5,2
1581188576,4,0
1581192176,0,2
1581199376,0,1
1581202976,1,1
1581206576,1,2
1581210176,2,0
1581213776,0,2
1581224576,1,1
1581228176,0,1
1581231776,2,1
1581235376,0,4
1581242576,1,2
1581249776,1,0
1581253377,0,2
1581256977,1,0
1581260577,0,4
1581264177,0,2
1581267777,1,0
1581271377,2,0
1581274977,1,0
1581278577,2,0
1581282177,1,0
1581289377,1,0
1581292977,1,3
1581296577,13,0
1581300177,1,1
1581314577,2,0
1581318177,1,1
1581325377,0,1
1581332578,1,0
1581336178,0,3
1581350578,2,2
1581361378,1,2
1581379378,0,3
1581390178,0,1
1581393778,58,3
1581400978,0,11
1581404580,0,1
1581408179,0,1
1581411779,2,2
1581418980,7,2
1581422579,1,0
1581429779,1,0
1581433380,0,1
1581436979,0,40
1581440580,0,2
1581444179,1,1
1581454982,1,0
1581458579,1,0
1581465779,1,0
1581476579,0,1
1581480180,0,1
1581483780,0,1
1581487380,1,1
1581498180,0,1
1581501780,0,1
1581512580,1,1
1581516181,0,2
1581526980,0,2
1581530580,2,1
1581537781,0,1
1581541380,0,1
1581544981,1,2
1581548580,1,2
1581555780,1,1
1581562980,1,1
1581566580,0,2
1581570181,0,1
1581577381,1,2
1581588181,0,2
1581591781,0,1
1581598981,0,1
1581602581,1,0
1581606181,0,5
1581616981,1,0
1581620581,0,1
1581624181,0,1
1581627781,1,0
1581631381,0,1
1581634982,1,0
1581642182,2,0
1581645782,0,1
1581649382,0,1
1581652982,0,2
1581656582,1,0
1581663782,0,1
1581670983,0,1
1581681782,1,2
1581692584,0,1
1581703382,8,2
