DateTime,AddedIPs,RemovedIPs
1545925959,140,140
1546014276,79,79
1546073295,1,1
1546087937,1,1
1546102570,80,80
1546146516,1,1
1546190891,47,47
1546278974,79,79
1546352673,1,1
1546367292,98,98
1546440513,128,128
1546528817,76,76
1546543470,1,1
1546587615,2,2
1546616896,75,75
1546705001,84,84
1546734253,1,1
1546793054,74,74
1546822846,1,1
1546866997,1,1
1546881636,82,82
1546911161,1,1
1546940677,2,2
1546970192,83,83
1547058262,106,106
1547088035,1,1
1547132176,77,77
1547161720,3,3
1547176342,1,1
1547220277,82,82
1547309815,84,84
1547324417,1,1
1547397877,110,110
1547419941,1,1
1547478993,135,135
1547567076,59,59
1547596334,2,2
1547647933,1,1
1547663085,96,96
1547736740,65,65
1547795533,2,2
1547824841,73,73
1547839494,1,1
1547868733,2,2
1547913136,109,109
1548001476,96,96
1548089566,102,102
1548104171,1,1
1548177613,97,97
1548265943,108,108
1548309860,1,1
1548324750,1,1
1548339371,1,1
1548354275,75,75
1548427477,91,91
1548456737,2,2
1548486279,1,1
1548515771,59,59
1548589470,2,2
1548604364,94,94
1548693395,87,87
1548722678,1,1
1548781471,61,61
1548796334,1,1
1548825617,1,1
1548870034,125,125
1548958123,108,108
1549031558,110,110
1549046191,1,1
1549119854,90,90
1549134489,1,1
1549163774,1,1
1549207688,122,122
1549303484,207,207
1549377646,119,119
1549465454,83,83
1549553289,86,86
1549641142,89,89
1549670412,1,1
1549699708,1,1
1549728980,85,85
1549802192,1,1
1549816830,289,289
1549904653,71,71
1549992486,89,89
1550080838,499,499
1550095449,2,2
1550124730,1,1
1550139366,1,1
1550154029,1,1
1550168650,54,54
1550183292,1,1
1550197940,1,1
1550212568,3,3
1550241851,54,54
1550256511,1,1
1550271158,2,2
1550329928,60,60
1550344571,9,9
1550359229,8,8
1550373850,1,1
1550388488,1,1
1550403160,2,2
1550417767,66,66
1550432410,1,1
1550461696,2,2
1550490972,2,2
1550507084,76,76
1550521689,4,4
1550595038,52,52
1550668816,1,1
1550683474,83,83
1550742034,1,1
1550771297,50,50
1550859398,64,64
1550932567,60,60
1550954679,1,1
1550983960,1,1
1550998591,3,3
1551027869,138,138
1551071774,2,2
1551086430,1,1
1551115717,79,79
1551203527,70,70
1551218188,1,1
1551232808,3,3
1551247701,1,1
1551262348,1,1
1551291850,73,73
1551366510,96,96
1551381382,2,2
1551425313,1,1
1551454566,44,44
1551469228,1,1
1551491297,2,2
1551505927,1,1
1551550361,43,43
1551579627,1,1
1551608910,1,1
1551623553,64,64
1551652805,4,4
1551667456,1,1
1551682399,1,1
1551696971,1,1
1551711609,44,44
1551726516,1,1
1551741132,1,1
1551755767,1,1
1551770407,1,1
1551799708,66,66
1551814358,1,1
1551858249,1,1
1551887534,70,70
1551902169,1,1
1551975368,74,74
1552004654,1,1
1552063229,61,61
1552151050,61,61
1552165694,1,1
1552238887,39,39
1552312091,59,59
1552399937,69,69
1552488015,75,75
1552575872,81,81
1552663936,147,147
1552751803,87,87
1552839631,154,154
1552927454,122,122
1553016009,270,270
1553089227,94,94
1553177077,168,168
1553265379,344,344
1553360671,65,65
1553448511,72,72
1553521693,115,115
1553609534,72,72
1553698116,115,115
1553785953,230,230
1553874012,308,308
1553962107,222,222
1554006275,1,1
1554050170,109,109
1554138041,113,113
1554226113,132,132
1554299294,206,206
1554313936,1,1
1554387638,303,303
1554475451,400,400
1554563539,499,499
1554651371,167,167
1554739707,132,132
1554798271,1,1
1554812905,1,1
1554827552,189,189
1554842168,1,1
1554915388,298,298
1555003453,147,147
1555076890,205,205
1555164969,155,155
1555179629,2,2
1555252810,253,253
1555296729,1,1
1555348109,82,82
1555421292,1,1
1555436196,141,141
1555509387,173,173
1555597690,157,157
1555612337,1,1
1555670898,1,1
1555685529,95,95
1555758753,1,1
1555773393,117,117
1555861211,160,160
1555934426,1,1
1555949316,126,126
1556008119,1,1
1556022758,2,2
1556037382,118,118
1556125227,167,167
1556213167,127,127
1556227804,1,1
1556286520,86,86
1556374333,41,41
1556432894,1,1
1556462171,139,139
1556491472,1,1
1556535370,1,1
1556550037,159,159
1556608811,1,1
1556638118,78,78
1556726917,125,125
1556785461,2,2
1556814739,53,53
1556902566,96,96
1556990413,154,154
1557005054,9,9
1557019707,3,3
1557034337,1,1
1557063632,156,156
1557151929,179,179
1557196355,1,1
1557240257,98,98
1557269532,1,1
1557313456,1,1
1557328091,379,379
1557416173,84,84
1557504007,56,56
1557591853,78,78
1557650410,1,1
1557679719,110,110
1557767771,96,96
1557840972,267,267
1557928818,198,198
1558016922,138,138
1558090357,1,1
1558104977,120,120
1558193075,90,90
1558207690,1,1
1558236972,1,1
1558251634,1,1
1558280914,254,254
1558368737,99,99
1558456578,179,179
1558515133,1,1
1558544506,95,95
1558617620,1,1
1558632249,113,113
1558705473,156,156
1558793534,126,126
1558881370,109,109
1558896007,1,1
1558954589,1,1
1558970381,158,158
1559029206,1,1
1559058491,103,103
1559110118,1,1
1559139401,107,107
1559227476,104,104
1559315531,127,127
1559330171,1,1
1559403391,178,178
1559491216,129,129
1559579050,129,129
1559666895,114,114
1559754730,101,101
1559827939,107,107
1559915770,104,104
1559945300,1,1
1560003851,62,62
1560091693,121,121
1560106344,2,2
1560120968,1,1
1560179775,61,61
1560238335,1,1
1560252968,1,1
1560267615,61,61
1560355698,87,87
1560443539,193,193
1560531380,80,80
1560619459,162,162
1560692653,101,101
1560780758,70,70
1560795373,1,1
1560868592,134,134
1560941791,1,1
1560956440,89,89
1561022654,1,1
1561037291,1,1
1561051932,93,93
1561125151,69,69
1561213691,148,148
1561301770,139,139
1561375210,1,1
1561389858,127,127
1561477957,85,85
1561566042,127,127
1561653850,499,499
1561741716,123,123
1561815158,84,84
1561902993,75,75
1561991057,126,126
1562078913,95,95
1562093552,1,1
1562122820,3,3
1562166996,88,88
1562181614,1,1
1562196252,1,1
1562254830,162,162
1562342650,179,179
1562430490,67,67
1562518570,60,60
1562606657,118,118
1562679870,113,113
1562738438,1,1
1562767692,78,78
1562857238,65,65
1562945293,72,72
1566486755,1,1
1570950970,1,1
1574433626,1,1
1581702983,500,500
1581791061,42,42
1581834970,1,1
1581864266,42,42
1581952328,63,63
1582040181,46,46
1582128010,52,52
1582216091,499,499
1582303927,49,49
1582392248,42,42
1582480103,47,47
1582567929,49,49
