DateTime,Entries,UniqueIPs
1580676686,7310,7310
1580683915,7353,7353
1580691148,7390,7390
1580698374,7394,7394
1580705568,7396,7396
1580712763,7397,7397
1580719925,7383,7383
1580727122,7382,7382
1580734345,7380,7380
1580741507,7373,7373
1580748721,7372,7372
1580755912,7372,7372
1580763111,7372,7372
1580770328,7376,7376
1580778005,7377,7377
1580788419,7380,7380
1580795530,7381,7381
1580802747,7384,7384
1580809929,7399,7399
1580817172,7400,7400
1580824360,7404,7404
1580831573,7408,7408
1580838736,7402,7402
1580845949,7398,7398
1580853146,7397,7397
1580860408,7394,7394
1580867536,7395,7395
1580874770,7396,7396
1580881955,7398,7398
1580889169,7401,7401
1580896406,7454,7454
1580903637,7467,7467
1580910812,7467,7467
1580918046,7498,7498
1580925181,7370,7370
1580932454,7370,7370
1580939640,7510,7510
1580946878,7532,7532
1580954058,7531,7531
1580961296,7532,7532
1580968481,7536,7536
1580975936,7804,7804
1580986888,8007,8007
1580997773,8109,8109
1581008644,8174,8174
1581019480,8225,8225
1581029996,7957,7957
1581040730,7777,7777
1581051380,7705,7705
1581058603,7632,7632
1581065698,7619,7619
1581076951,7659,7659
1581089012,7874,7874
1581098434,7958,7958
1581109304,8004,8004
1581120239,8074,8074
1581131047,8150,8150
1581141890,8204,8204
1581152714,8239,8239
1581163515,8241,8241
1581174403,8244,8244
1581185074,8201,8201
1581195627,7895,7895
1581206412,7902,7902
1581217343,7998,7998
1581228274,8045,8045
1581238982,8068,8068
1581249799,8095,8095
1581260738,8201,8201
1581271771,8377,8377
1581282635,8301,8301
1581293285,8241,8241
1581304074,8219,8219
1581315152,8390,8390
1581325968,8489,8489
1581336902,8549,8549
1581348921,8602,8602
1581358508,8655,8655
1581369365,8716,8716
1581380208,8754,8754
1581391156,8822,8822
1581401935,8897,8897
1581412833,8957,8957
1581423747,9024,9024
1581434630,9075,9075
1581445482,9191,9191
1581456265,9264,9264
1581467133,9313,9313
1581477999,9384,9384
1581488886,9485,9485
1581499803,9686,9686
1581510751,9802,9802
1581521683,9995,9995
1581532571,10060,10060
1581543408,10122,10122
1581554327,10207,10207
1581565213,10267,10267
1581576165,10430,10430
1581586952,10458,10458
1581597783,10491,10491
1581608593,10498,10498
1581619440,10517,10517
1581630227,10520,10520
1581641054,10551,10551
1581651912,10600,10600
1581662770,10672,10672
1581673613,10692,10692
1581684412,10716,10716
1581695209,10725,10725
1581706099,10805,10805
1581716928,10827,10827
1581727754,10825,10825
1581738548,10827,10827
1581749322,10836,10836
1581760089,10810,10810
1581770843,10774,10774
1581781644,10773,10773
1581792425,10757,10757
1581803213,10766,10766
1581813996,10723,10723
1581824786,10705,10705
1581835591,10680,10680
1581846310,10644,10644
1581857027,10582,10582
1581867630,10458,10458
1581878448,10491,10491
1581889263,10474,10474
1581900064,10484,10484
1581910846,10483,10483
1581921646,10488,10488
1581932442,10485,10485
1581943286,10471,10471
1581954044,10438,10438
1581964806,10416,10416
1581975589,10422,10422
1581986474,10469,10469
1581997328,10499,10499
1582008112,10513,10513
1582018915,10521,10521
1582029674,10479,10479
1582040393,10421,10421
1582051168,10356,10356
1582061924,10302,10302
1582072634,10241,10241
1582083410,10187,10187
1582094158,10110,10110
1582104835,9925,9925
1582115553,9832,9832
1582126231,9728,9728
1582136940,9619,9619
1582147815,9594,9594
1582158696,9640,9640
1582169520,9671,9671
1582180251,9600,9600
1582190964,9530,9530
1582201665,9447,9447
1582212507,9407,9407
1582223183,9350,9350
1582233871,9243,9243
1582244592,9152,9152
1582255321,9063,9063
1582266063,8985,8985
1582276746,8902,8902
1582287442,8800,8800
1582298175,8689,8689
1582308836,8597,8597
1582319526,8493,8493
1582330229,8378,8378
1582340956,8297,8297
1582351644,8200,8200
1582362358,8112,8112
1582373086,8034,8034
1582383865,8031,8031
1582394666,8027,8027
1582405418,7986,7986
1582416157,7927,7927
1582426953,7877,7877
1582437680,7819,7819
1582448374,7738,7738
1582459059,7632,7632
1582466237,7580,7580
1582473362,7532,7532
1582480506,7485,7485
1582487648,7452,7452
1582494797,7409,7409
1582502151,7555,7555
1582509383,7552,7552
1582516524,7518,7518
1582523685,7457,7457
1582531160,7749,7749
1582542164,7918,7918
1582552949,7941,7941
1582563838,8017,8017
1582574665,8034,8034
1582585458,7990,7990
1582596256,7983,7983
1582607047,7969,7969
1582617790,7892,7892
1582628260,7549,7549
